ID,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
100000522,female,non-single,24,high school,116863,skilled employee,mid-sized city
100000523,male,single,53,high school,170622,skilled employee,mid-sized city
100000524,female,non-single,23,high school,132426,skilled employee,mid-sized city
100000525,female,non-single,26,high school,77519,unemployed,small city
100000526,male,single,30,other,169405,skilled employee,big city
100000527,female,non-single,31,high school,120030,skilled employee,small city
100000528,male,single,42,high school,77933,unemployed,small city
100000529,male,non-single,31,high school,109892,skilled employee,mid-sized city
100000530,male,single,41,high school,69062,unemployed,small city
100000531,male,single,32,other,116348,skilled employee,small city
100000532,female,non-single,28,high school,137188,skilled employee,mid-sized city
100000533,male,non-single,41,high school,110199,skilled employee,small city
100000534,male,non-single,26,high school,109890,skilled employee,mid-sized city
100000535,male,single,25,other,109751,skilled employee,big city
100000536,male,non-single,33,high school,129651,skilled employee,mid-sized city
100000537,female,non-single,75,graduate school,170113,management/self -employed,mid-sized city
100000538,female,non-single,37,high school,140285,skilled employee,mid-sized city
100000539,male,single,42,high school,198029,management/self -employed,big city
100000540,female,non-single,45,university,120262,unemployed,small city
100000541,male,non-single,23,high school,105137,skilled employee,mid-sized city
100000542,male,single,60,university,127371,skilled employee,small city
100000543,male,single,31,other,145689,skilled employee,small city
100000544,male,single,34,high school,102617,unemployed,mid-sized city
100000545,male,single,61,university,90709,unemployed,small city
100000546,male,single,43,high school,107099,skilled employee,mid-sized city
100000547,female,non-single,37,high school,116021,skilled employee,big city
100000548,male,single,32,other,100426,skilled employee,big city
100000549,female,non-single,24,high school,62249,unemployed,small city
100000550,male,single,35,high school,172957,skilled employee,mid-sized city
100000551,female,non-single,23,high school,95003,skilled employee,mid-sized city
100000552,male,single,45,high school,109698,unemployed,small city
100000553,male,non-single,34,high school,157376,skilled employee,small city
100000554,male,single,27,other,123191,skilled employee,big city
100000555,female,non-single,67,graduate school,171052,management/self -employed,small city
100000556,male,single,22,other,99328,skilled employee,small city
100000557,female,non-single,28,high school,133799,skilled employee,big city
100000558,female,non-single,29,high school,138256,skilled employee,big city
100000559,male,single,27,other,115638,skilled employee,small city
100000560,male,single,31,other,82238,unemployed,small city
100000561,male,single,49,high school,127543,skilled employee,mid-sized city
100000562,male,single,24,other,63987,unemployed,small city
100000563,female,non-single,29,high school,114784,skilled employee,small city
100000564,male,single,37,high school,217450,skilled employee,mid-sized city
100000565,male,single,37,high school,173751,management/self -employed,big city
100000566,female,non-single,23,high school,122850,skilled employee,small city
100000567,male,non-single,36,high school,104953,skilled employee,small city
100000568,male,single,34,high school,152371,skilled employee,mid-sized city
100000569,male,single,41,high school,139905,skilled employee,small city
100000570,female,non-single,31,high school,156700,skilled employee,mid-sized city
100000571,female,non-single,23,high school,86488,unemployed,small city
100000572,male,single,38,high school,147472,skilled employee,small city
100000573,female,non-single,26,high school,169991,management/self -employed,small city
100000574,female,non-single,22,high school,62381,unemployed,small city
100000575,male,single,27,other,70926,unemployed,small city
100000576,female,non-single,24,high school,113004,skilled employee,mid-sized city
100000577,female,non-single,27,high school,125760,skilled employee,small city
100000578,female,non-single,33,high school,111918,skilled employee,big city
100000579,male,non-single,27,high school,120674,skilled employee,mid-sized city
100000580,male,non-single,27,high school,63597,unemployed,small city
100000581,male,single,30,other,103069,skilled employee,mid-sized city
100000582,male,single,49,high school,108079,unemployed,small city
100000583,female,non-single,26,high school,101159,skilled employee,mid-sized city
100000584,male,single,33,high school,88211,unemployed,small city
100000585,female,non-single,52,university,159052,management/self -employed,mid-sized city
100000586,female,non-single,20,high school,102623,skilled employee,big city
100000587,male,single,36,high school,115589,skilled employee,small city
100000588,male,single,21,other,59127,unemployed,small city
100000589,male,non-single,47,university,82240,unemployed,small city
100000590,male,single,60,university,129425,skilled employee,mid-sized city
100000591,female,non-single,58,university,87058,unemployed,small city
100000592,female,non-single,42,university,128462,skilled employee,big city
100000593,female,non-single,36,high school,121403,unemployed,small city
100000594,female,non-single,20,high school,88141,unemployed,small city
100000595,male,single,40,high school,134946,management/self -employed,big city
100000596,female,non-single,32,high school,94058,unemployed,small city
100000597,female,non-single,23,high school,99285,skilled employee,mid-sized city
100000598,male,single,36,high school,108432,unemployed,small city
100000599,male,single,31,other,111369,skilled employee,small city
100000600,male,single,32,other,122612,skilled employee,big city
100000601,female,non-single,45,university,134350,skilled employee,small city
100000602,female,non-single,30,high school,108838,skilled employee,big city
100000603,female,non-single,34,high school,90852,unemployed,small city
100000604,female,non-single,28,high school,151580,management/self -employed,big city
100000605,female,non-single,23,high school,115681,skilled employee,mid-sized city
100000606,male,single,22,other,131699,skilled employee,mid-sized city
100000607,male,single,74,university,192481,management/self -employed,mid-sized city
100000608,female,non-single,50,university,155122,skilled employee,big city
100000609,male,single,33,high school,106015,skilled employee,big city
100000610,male,single,45,high school,108378,skilled employee,small city
100000611,female,non-single,22,high school,105257,skilled employee,mid-sized city
100000612,female,non-single,48,university,118788,unemployed,small city
100000613,female,non-single,29,high school,162955,skilled employee,big city
100000614,female,non-single,22,high school,119511,skilled employee,big city
100000615,female,non-single,22,high school,102000,skilled employee,small city
100000616,male,single,48,high school,254449,management/self -employed,mid-sized city
100000617,male,single,27,other,208446,management/self -employed,big city
100000618,male,single,37,high school,124805,skilled employee,small city
100000619,female,non-single,21,high school,139379,skilled employee,small city
100000620,male,non-single,49,university,78296,unemployed,small city
100000621,male,single,27,other,125598,skilled employee,mid-sized city
100000622,male,single,32,other,100215,skilled employee,big city
100000623,male,non-single,38,high school,130951,skilled employee,big city
100000624,female,non-single,22,high school,102480,skilled employee,big city
100000625,male,single,65,university,136812,skilled employee,mid-sized city
100000626,male,single,35,high school,106919,skilled employee,mid-sized city
100000627,male,single,41,high school,131020,skilled employee,big city
100000628,male,single,29,other,119429,skilled employee,mid-sized city
100000629,male,single,36,high school,154521,skilled employee,mid-sized city
100000630,male,single,64,university,117842,unemployed,small city
100000631,female,non-single,28,high school,124566,skilled employee,big city
100000632,male,single,44,high school,110009,skilled employee,big city
100000633,male,single,23,other,101210,skilled employee,mid-sized city
100000634,female,non-single,19,high school,101258,skilled employee,small city
100000635,female,non-single,25,high school,79045,unemployed,small city
100000636,male,single,47,high school,110866,skilled employee,small city
100000637,female,non-single,28,high school,129640,skilled employee,big city
100000638,male,single,21,other,227021,skilled employee,mid-sized city
100000639,female,non-single,34,high school,108549,skilled employee,mid-sized city
100000640,male,single,26,other,122693,skilled employee,small city
100000641,female,non-single,27,high school,35832,unemployed,small city
100000642,male,single,38,high school,81870,unemployed,small city
100000643,male,single,40,high school,179790,management/self -employed,big city
100000644,male,non-single,33,high school,107158,skilled employee,mid-sized city
100000645,male,non-single,32,high school,136638,management/self -employed,mid-sized city
100000646,male,single,27,other,158147,skilled employee,big city
100000647,male,non-single,32,high school,132587,skilled employee,big city
100000648,female,non-single,26,high school,128140,skilled employee,big city
100000649,male,single,38,high school,117405,skilled employee,mid-sized city
100000650,male,single,40,high school,68475,unemployed,small city
100000651,male,single,50,high school,201656,management/self -employed,big city
100000652,male,single,37,high school,86967,unemployed,small city
100000653,male,single,45,high school,118006,skilled employee,mid-sized city
100000654,male,single,42,high school,223630,management/self -employed,big city
100000655,male,single,35,high school,110442,skilled employee,small city
100000656,male,single,22,other,115691,skilled employee,big city
100000657,male,single,41,high school,80232,unemployed,small city
100000658,male,single,37,high school,187647,skilled employee,mid-sized city
100000659,female,non-single,28,high school,138952,skilled employee,mid-sized city
100000660,male,single,41,high school,162772,skilled employee,big city
100000661,male,non-single,23,high school,111862,skilled employee,mid-sized city
100000662,male,non-single,23,high school,90051,skilled employee,mid-sized city
100000663,male,single,50,high school,121400,skilled employee,mid-sized city
100000664,male,single,35,high school,137000,management/self -employed,big city
100000665,female,non-single,50,university,105031,unemployed,small city
100000666,male,single,27,other,172153,management/self -employed,big city
100000667,male,single,34,high school,170184,skilled employee,mid-sized city
100000668,female,non-single,27,high school,123279,skilled employee,mid-sized city
100000669,male,single,43,high school,140795,skilled employee,small city
100000670,male,single,47,high school,144456,skilled employee,small city
100000671,male,single,27,other,104773,unemployed,small city
100000672,male,single,31,other,153353,skilled employee,mid-sized city
100000673,male,single,42,high school,223018,management/self -employed,mid-sized city
100000674,male,non-single,24,high school,129177,skilled employee,big city
100000675,male,single,41,high school,114475,unemployed,mid-sized city
100000676,female,non-single,26,high school,161323,management/self -employed,mid-sized city
100000677,male,single,33,high school,135765,skilled employee,big city
100000678,male,non-single,24,high school,158421,skilled employee,small city
100000679,male,single,64,university,103941,unemployed,small city
100000680,female,non-single,26,high school,101783,skilled employee,big city
100000681,female,non-single,56,university,126531,skilled employee,mid-sized city
100000682,male,single,37,high school,111394,skilled employee,mid-sized city
100000683,male,non-single,33,high school,103577,skilled employee,big city
100000684,male,non-single,47,university,149545,skilled employee,mid-sized city
100000685,male,single,31,other,171857,unemployed,small city
100000686,male,single,34,high school,149782,skilled employee,mid-sized city
100000687,male,single,27,other,112470,skilled employee,mid-sized city
100000688,male,single,30,other,133907,skilled employee,big city
100000689,male,single,35,high school,127849,skilled employee,mid-sized city
100000690,male,single,31,other,160279,skilled employee,big city
100000691,male,non-single,25,high school,92366,skilled employee,big city
100000692,female,non-single,25,high school,104794,unemployed,small city
100000693,male,single,29,other,133436,skilled employee,mid-sized city
100000694,male,single,44,high school,110374,unemployed,small city
100000695,male,single,28,other,104263,skilled employee,mid-sized city
100000696,male,single,50,high school,138752,skilled employee,small city
100000697,male,single,29,other,102723,skilled employee,small city
100000698,female,non-single,38,high school,46297,unemployed,small city
100000699,male,single,24,other,96425,skilled employee,mid-sized city
100000700,male,single,40,high school,158197,management/self -employed,mid-sized city
100000701,female,non-single,29,high school,98008,unemployed,small city
100000702,male,single,46,high school,157473,skilled employee,small city
100000703,female,non-single,47,university,149306,skilled employee,small city
100000704,male,single,41,high school,139236,skilled employee,mid-sized city
100000705,female,non-single,32,high school,125890,skilled employee,big city
100000706,female,non-single,35,high school,173124,skilled employee,mid-sized city
100000707,male,single,24,other,164621,skilled employee,mid-sized city
100000708,female,non-single,25,high school,124539,skilled employee,mid-sized city
100000709,female,non-single,25,high school,107614,skilled employee,mid-sized city
100000710,male,single,37,high school,88849,unemployed,small city
100000711,male,single,32,other,148566,management/self -employed,big city
100000712,female,non-single,35,high school,106515,skilled employee,big city
100000713,male,single,46,high school,150465,management/self -employed,mid-sized city
100000714,male,single,25,other,60868,unemployed,small city
100000715,male,single,27,other,255198,management/self -employed,big city
100000716,male,single,63,university,183178,skilled employee,mid-sized city
100000717,male,single,40,high school,121448,skilled employee,big city
100000718,male,single,32,other,129975,management/self -employed,big city
100000719,male,single,31,other,132950,skilled employee,big city
100000720,male,non-single,31,high school,169314,skilled employee,mid-sized city
100000721,male,single,34,high school,147958,management/self -employed,mid-sized city
100000722,female,non-single,24,high school,139896,skilled employee,big city
100000723,female,non-single,24,high school,68028,unemployed,small city
100000724,female,non-single,66,graduate school,133328,unemployed,small city
100000725,female,non-single,21,high school,108518,skilled employee,big city
100000726,female,non-single,41,university,112700,unemployed,small city
100000727,male,non-single,47,university,110190,unemployed,small city
100000728,female,non-single,25,high school,105104,skilled employee,mid-sized city
100000729,female,non-single,59,university,184753,skilled employee,mid-sized city
100000730,male,non-single,36,high school,162521,skilled employee,big city
100000731,male,single,33,high school,156794,skilled employee,mid-sized city
100000732,male,single,21,other,65827,unemployed,small city
100000733,female,non-single,44,university,88490,unemployed,small city
100000734,female,non-single,28,high school,154919,skilled employee,big city
100000735,female,non-single,37,high school,129058,skilled employee,small city
100000736,female,non-single,29,high school,77532,unemployed,small city
100000737,female,non-single,23,high school,235417,management/self -employed,big city
100000738,male,single,35,high school,113468,unemployed,small city
100000739,male,single,45,high school,190803,management/self -employed,big city
100000740,female,non-single,26,high school,121423,unemployed,small city
100000741,male,single,32,other,121347,skilled employee,mid-sized city
100000742,male,single,23,other,67408,unemployed,small city
100000743,male,single,41,high school,123043,skilled employee,mid-sized city
100000744,male,single,22,other,128387,skilled employee,big city
100000745,male,single,30,other,250050,management/self -employed,mid-sized city
100000746,male,single,28,other,69588,unemployed,small city
100000747,female,non-single,23,high school,109547,skilled employee,mid-sized city
100000748,female,non-single,37,high school,78840,unemployed,small city
100000749,male,single,26,other,131122,skilled employee,small city
100000750,male,single,33,high school,115403,skilled employee,mid-sized city
100000751,female,non-single,49,university,110291,skilled employee,big city
100000752,female,non-single,23,high school,64811,unemployed,small city
100000753,female,non-single,23,high school,86015,unemployed,small city
100000754,female,non-single,25,high school,142438,skilled employee,big city
100000755,male,single,55,high school,159303,skilled employee,mid-sized city
100000756,female,non-single,32,high school,104957,skilled employee,mid-sized city
100000757,male,single,74,university,89502,unemployed,small city
100000758,male,single,39,high school,121313,skilled employee,mid-sized city
100000759,male,single,31,other,98102,skilled employee,small city
100000760,male,single,35,high school,94554,skilled employee,mid-sized city
100000761,female,non-single,59,university,162591,skilled employee,mid-sized city
100000762,female,non-single,24,high school,106629,skilled employee,big city
100000763,male,single,24,other,70400,unemployed,small city
100000764,male,single,30,other,235660,management/self -employed,big city
100000765,male,non-single,27,high school,121747,skilled employee,big city
100000766,male,non-single,40,high school,85060,unemployed,small city
100000767,male,non-single,31,high school,87630,unemployed,small city
100000768,female,non-single,31,high school,119673,skilled employee,small city
100000769,male,single,28,other,126060,skilled employee,big city
100000770,male,single,63,university,96145,unemployed,small city
100000771,female,non-single,26,high school,114830,skilled employee,small city
100000772,female,non-single,25,high school,194461,management/self -employed,big city
100000773,male,single,36,high school,150158,management/self -employed,big city
100000774,male,single,52,high school,136323,skilled employee,big city
100000775,male,single,66,university,111858,unemployed,small city
100000776,female,non-single,25,high school,100198,skilled employee,small city
100000777,male,single,37,high school,123452,skilled employee,big city
100000778,female,non-single,25,high school,120723,skilled employee,mid-sized city
100000779,male,single,38,high school,215639,management/self -employed,mid-sized city
100000780,female,non-single,67,graduate school,166712,skilled employee,mid-sized city
100000781,male,single,25,other,136300,skilled employee,mid-sized city
100000782,male,single,60,university,166988,skilled employee,big city
100000783,male,single,31,other,77265,unemployed,small city
100000784,female,non-single,23,high school,85967,unemployed,small city
100000785,male,non-single,60,university,212020,management/self -employed,small city
100000786,male,single,35,high school,126054,unemployed,small city
100000787,male,single,40,high school,144589,skilled employee,small city
100000788,male,single,38,high school,116723,skilled employee,mid-sized city
100000789,male,single,50,high school,168637,skilled employee,mid-sized city
100000790,male,single,27,other,139119,skilled employee,mid-sized city
100000791,female,non-single,39,university,118610,skilled employee,big city
100000792,male,single,41,high school,183312,management/self -employed,big city
100000793,male,non-single,27,high school,96323,skilled employee,small city
100000794,male,non-single,51,university,149510,skilled employee,big city
100000795,male,single,32,other,141922,skilled employee,big city
100000796,female,non-single,22,high school,120233,skilled employee,small city
100000797,male,single,51,high school,172790,skilled employee,mid-sized city
100000798,female,non-single,22,high school,66720,unemployed,small city
100000799,male,non-single,54,university,113024,skilled employee,mid-sized city
100000800,male,single,35,high school,51791,unemployed,small city
100000801,male,single,54,high school,118408,skilled employee,big city
100000802,female,non-single,48,university,101616,unemployed,small city
100000803,female,non-single,24,high school,127250,skilled employee,small city
100000804,male,single,35,high school,97290,skilled employee,small city
100000805,female,non-single,24,high school,106970,unemployed,small city
100000806,male,single,24,other,168147,skilled employee,big city
100000807,male,non-single,26,high school,68468,unemployed,small city
100000808,male,single,65,university,120780,skilled employee,big city
100000809,male,single,55,high school,231992,management/self -employed,big city
100000810,female,non-single,26,high school,53903,unemployed,small city
100000811,male,non-single,26,high school,101511,skilled employee,big city
100000812,male,non-single,28,high school,69046,unemployed,small city
100000813,male,single,24,other,171584,skilled employee,mid-sized city
100000814,male,single,54,high school,132367,skilled employee,big city
100000815,male,single,46,high school,134433,skilled employee,big city
100000816,female,non-single,54,university,190518,skilled employee,small city
100000817,male,non-single,62,university,152367,skilled employee,mid-sized city
100000818,female,non-single,24,high school,101157,skilled employee,mid-sized city
100000819,male,non-single,43,university,279593,management/self -employed,big city
100000820,male,non-single,26,high school,96716,skilled employee,big city
100000821,male,non-single,27,high school,95171,skilled employee,small city
100000822,male,non-single,24,high school,129162,skilled employee,big city
100000823,male,single,41,high school,118742,skilled employee,small city
100000824,male,single,47,high school,74511,unemployed,small city
100000825,male,non-single,35,high school,157272,management/self -employed,mid-sized city
100000826,male,non-single,30,high school,102374,skilled employee,small city
100000827,female,non-single,33,high school,131492,skilled employee,small city
100000828,male,single,36,high school,128702,skilled employee,big city
100000829,male,single,47,high school,177509,skilled employee,big city
100000830,male,single,38,high school,163451,skilled employee,mid-sized city
100000831,male,single,44,high school,144900,skilled employee,mid-sized city
100000832,female,non-single,23,high school,97115,skilled employee,big city
100000833,male,single,29,other,196568,skilled employee,big city
100000834,female,non-single,42,university,158405,skilled employee,small city
100000835,female,non-single,25,high school,97376,unemployed,small city
100000836,male,single,48,high school,108678,skilled employee,mid-sized city
100000837,female,non-single,21,high school,92351,skilled employee,small city
100000838,female,non-single,23,high school,61211,unemployed,small city
100000839,male,single,63,university,138644,skilled employee,small city
100000840,male,non-single,46,university,124824,skilled employee,big city
100000841,male,single,29,other,132852,skilled employee,small city
100000842,male,single,28,other,81069,unemployed,small city
100000843,female,non-single,23,high school,104094,skilled employee,big city
100000844,male,single,50,high school,114853,skilled employee,small city
100000845,male,single,47,high school,130344,skilled employee,big city
100000846,male,single,35,high school,135090,skilled employee,small city
100000847,male,single,68,university,179151,skilled employee,big city
100000848,male,non-single,28,high school,97390,skilled employee,mid-sized city
100000849,male,single,59,university,120160,skilled employee,small city
100000850,male,single,57,university,82277,unemployed,small city
100000851,male,non-single,33,high school,110844,skilled employee,big city
100000852,male,single,43,high school,133105,skilled employee,small city
100000853,male,single,35,high school,102042,skilled employee,small city
100000854,male,single,32,other,69370,unemployed,small city
100000855,male,single,45,high school,200298,skilled employee,mid-sized city
100000856,male,non-single,33,high school,117039,skilled employee,big city
100000857,female,non-single,40,university,107585,skilled employee,big city
100000858,male,single,28,other,114429,skilled employee,small city
100000859,female,non-single,29,high school,128234,skilled employee,big city
100000860,male,single,26,other,128580,skilled employee,big city
100000861,male,single,27,other,177757,skilled employee,mid-sized city
100000862,male,non-single,28,high school,106222,skilled employee,small city
100000863,female,non-single,35,high school,118428,skilled employee,big city
100000864,male,single,32,other,139477,unemployed,small city
100000865,male,single,25,other,71159,unemployed,small city
100000866,female,non-single,20,high school,131370,skilled employee,big city
100000867,female,non-single,27,high school,111567,skilled employee,big city
100000868,male,single,42,high school,125482,skilled employee,big city
100000869,male,single,37,high school,160642,skilled employee,big city
100000870,female,non-single,24,high school,92498,skilled employee,small city
100000871,female,non-single,40,university,199711,skilled employee,big city
100000872,male,single,46,high school,127588,skilled employee,big city
100000873,male,single,26,other,107508,skilled employee,big city
100000874,female,non-single,24,high school,94629,skilled employee,big city
100000875,male,single,29,other,87598,unemployed,big city
100000876,female,non-single,40,university,161194,skilled employee,mid-sized city
100000877,male,single,36,high school,137342,management/self -employed,big city
100000878,male,single,28,other,116848,skilled employee,mid-sized city
100000879,male,single,27,other,125190,management/self -employed,mid-sized city
100000880,male,single,36,high school,153441,skilled employee,small city
100000881,male,single,38,high school,195328,management/self -employed,big city
100000882,male,non-single,48,university,190413,skilled employee,small city
100000883,male,single,36,high school,118656,skilled employee,mid-sized city
100000884,female,non-single,65,graduate school,69487,unemployed,small city
100000885,male,non-single,43,university,145313,skilled employee,mid-sized city
100000886,female,non-single,53,university,117005,skilled employee,mid-sized city
100000887,male,single,34,high school,123243,skilled employee,mid-sized city
100000888,male,single,23,other,237799,skilled employee,mid-sized city
100000889,male,single,34,high school,180617,management/self -employed,big city
100000890,male,single,40,high school,167019,skilled employee,small city
100000891,male,single,43,high school,147745,management/self -employed,big city
100000892,male,single,46,high school,114254,skilled employee,mid-sized city
100000893,male,single,38,high school,81155,unemployed,small city
100000894,male,single,34,high school,151803,skilled employee,big city
100000895,male,single,29,other,94356,skilled employee,big city
100000896,male,single,31,other,200621,management/self -employed,big city
100000897,female,non-single,28,high school,144448,management/self -employed,mid-sized city
100000898,female,non-single,35,high school,150797,skilled employee,small city
100000899,female,non-single,33,high school,84404,unemployed,small city
100000900,male,single,42,high school,133373,skilled employee,big city
100000901,male,single,43,high school,119502,skilled employee,big city
100000902,male,non-single,44,university,131619,skilled employee,small city
100000903,male,single,42,high school,194084,skilled employee,big city
100000904,male,non-single,40,high school,108278,skilled employee,mid-sized city
100000905,male,single,36,high school,130987,management/self -employed,mid-sized city
100000906,male,single,20,other,116582,management/self -employed,big city
100000907,male,single,24,other,85270,unemployed,small city
100000908,male,non-single,27,high school,129227,skilled employee,small city
100000909,female,non-single,46,university,108291,unemployed,small city
100000910,female,non-single,33,high school,103091,unemployed,small city
100000911,female,non-single,34,high school,136975,skilled employee,mid-sized city
100000912,female,non-single,25,high school,111502,unemployed,small city
100000913,female,non-single,25,high school,124750,skilled employee,mid-sized city
100000914,male,non-single,28,high school,146463,skilled employee,big city
100000915,male,single,31,other,115075,skilled employee,small city
100000916,female,non-single,32,high school,308491,management/self -employed,mid-sized city
100000917,male,single,32,other,126368,skilled employee,small city
100000918,male,single,68,university,287247,management/self -employed,big city
100000919,male,non-single,33,high school,125535,skilled employee,big city
100000920,male,single,39,high school,153223,management/self -employed,big city
100000921,female,non-single,28,high school,106873,skilled employee,mid-sized city
100000922,male,single,37,high school,268906,management/self -employed,mid-sized city
100000923,female,non-single,22,high school,97757,skilled employee,big city
100000924,male,single,30,other,112151,skilled employee,mid-sized city
100000925,male,non-single,55,university,172909,skilled employee,small city
100000926,male,single,46,high school,103387,skilled employee,mid-sized city
100000927,female,non-single,21,high school,93916,skilled employee,big city
100000928,male,single,39,high school,189963,skilled employee,big city
100000929,male,single,58,university,124191,skilled employee,small city
100000930,male,single,43,high school,77205,unemployed,small city
100000931,male,single,24,other,65917,unemployed,small city
100000932,female,non-single,22,high school,109676,skilled employee,small city
100000933,male,single,30,other,95682,skilled employee,big city
100000934,male,single,42,high school,125516,skilled employee,big city
100000935,female,non-single,23,high school,99822,skilled employee,small city
100000936,male,single,30,other,154854,management/self -employed,mid-sized city
100000937,female,non-single,28,high school,84582,unemployed,small city
100000938,male,non-single,30,high school,145800,management/self -employed,small city
100000939,male,single,42,high school,162869,skilled employee,mid-sized city
100000940,male,single,46,high school,192379,management/self -employed,big city
100000941,male,single,45,high school,159757,management/self -employed,big city
100000942,male,single,31,other,69571,unemployed,small city
100000943,male,single,31,other,93648,skilled employee,big city
100000944,male,single,42,high school,77472,unemployed,small city
100000945,female,non-single,46,university,121501,skilled employee,small city
100000946,female,non-single,30,high school,207262,skilled employee,small city
100000947,male,single,30,other,143082,skilled employee,big city
100000948,male,single,38,high school,147760,management/self -employed,mid-sized city
100000949,male,non-single,43,university,82082,unemployed,small city
100000950,male,single,31,other,132991,skilled employee,mid-sized city
100000951,male,non-single,40,high school,78436,unemployed,small city
100000952,male,single,24,other,99737,skilled employee,big city
100000953,female,non-single,28,high school,164915,skilled employee,small city
100000954,female,non-single,26,high school,223185,management/self -employed,mid-sized city
100000955,female,non-single,29,high school,108400,skilled employee,big city
100000956,female,non-single,57,university,194882,management/self -employed,mid-sized city
100000957,male,single,49,high school,122186,unemployed,small city
100000958,male,single,37,high school,79594,unemployed,small city
100000959,male,single,45,high school,104355,unemployed,small city
100000960,male,single,30,other,135894,skilled employee,big city
100000961,male,non-single,30,high school,103699,skilled employee,mid-sized city
100000962,male,non-single,47,university,132145,skilled employee,mid-sized city
100000963,male,single,29,other,117272,skilled employee,big city
100000964,male,single,35,high school,137932,skilled employee,small city
100000965,male,non-single,22,high school,63972,unemployed,small city
100000966,female,non-single,26,high school,113299,skilled employee,big city
100000967,male,single,23,other,108540,unemployed,small city
100000968,female,non-single,54,university,174424,management/self -employed,big city
100000969,male,non-single,29,high school,154991,skilled employee,big city
100000970,male,single,40,high school,99723,unemployed,small city
100000971,male,single,22,other,114584,skilled employee,big city
100000972,male,single,43,high school,135275,unemployed,small city
100000973,female,non-single,29,high school,41680,unemployed,small city
100000974,male,single,36,high school,158769,skilled employee,mid-sized city
100000975,female,non-single,33,high school,120596,skilled employee,small city
100000976,female,non-single,57,university,139641,unemployed,small city
100000977,female,non-single,64,graduate school,134377,skilled employee,small city
100000978,male,single,42,high school,125804,skilled employee,big city
100000979,male,single,47,high school,91858,unemployed,small city
100000980,male,non-single,25,high school,117641,skilled employee,big city
100000981,male,single,49,high school,188594,skilled employee,mid-sized city
100000982,male,single,33,high school,162827,management/self -employed,big city
100000983,female,non-single,28,high school,178991,management/self -employed,big city
100000984,male,single,26,other,159739,skilled employee,mid-sized city
100000985,male,single,30,other,73401,unemployed,small city
100000986,female,non-single,25,high school,100794,skilled employee,big city
100000987,male,non-single,33,high school,167763,skilled employee,mid-sized city
100000988,female,non-single,64,graduate school,145174,skilled employee,small city
100000989,male,single,29,other,176292,management/self -employed,mid-sized city
100000990,male,single,48,high school,94024,unemployed,small city
100000991,male,single,37,high school,93740,unemployed,small city
100000992,male,single,34,high school,85685,unemployed,small city
100000993,male,non-single,23,high school,69997,unemployed,small city
100000994,male,single,30,other,151938,management/self -employed,big city
100000995,male,single,50,high school,122830,skilled employee,mid-sized city
100000996,female,non-single,31,high school,78489,unemployed,small city
100000997,male,non-single,40,high school,161999,management/self -employed,mid-sized city
100000998,male,single,38,high school,98032,skilled employee,big city
100000999,male,single,23,other,96060,skilled employee,small city
100001000,male,single,27,other,147968,skilled employee,mid-sized city
100001001,female,non-single,63,university,134853,skilled employee,mid-sized city
100001002,male,single,66,university,157576,management/self -employed,big city
100001003,male,non-single,43,university,203738,management/self -employed,mid-sized city
100001004,male,non-single,44,university,280570,management/self -employed,big city
100001005,male,non-single,65,graduate school,69487,unemployed,big city
100001006,female,non-single,73,graduate school,214126,management/self -employed,mid-sized city
100001007,male,single,60,university,136671,skilled employee,mid-sized city
100001008,male,non-single,62,university,174337,skilled employee,mid-sized city
100001009,female,non-single,58,university,126710,skilled employee,mid-sized city
100001010,female,non-single,43,university,167139,management/self -employed,big city
100001011,male,single,64,university,122094,skilled employee,big city
100001012,male,non-single,37,graduate school,170113,management/self -employed,big city
100001013,female,non-single,46,university,192698,management/self -employed,mid-sized city
100001014,male,non-single,57,university,144197,skilled employee,big city
100001015,male,non-single,51,university,133623,skilled employee,mid-sized city
100001016,female,non-single,32,graduate school,171052,management/self -employed,big city
100001017,male,single,64,university,130492,skilled employee,big city
100001018,male,single,68,university,135705,skilled employee,mid-sized city
100001019,female,non-single,55,university,171804,management/self -employed,big city
100001020,male,single,73,university,192167,management/self -employed,mid-sized city
100001021,female,non-single,34,graduate school,134377,skilled employee,big city
100001022,male,non-single,44,university,146716,skilled employee,mid-sized city
100001023,male,single,58,university,267872,skilled employee,mid-sized city
100001024,female,non-single,65,university,142193,unemployed,mid-sized city
100001025,female,non-single,56,university,183765,skilled employee,mid-sized city
100001026,female,non-single,42,university,218664,management/self -employed,big city
100001027,female,non-single,65,graduate school,145174,skilled employee,big city
100001028,male,single,72,university,224961,management/self -employed,big city
100001029,female,non-single,45,university,262634,management/self -employed,big city
100001030,male,single,68,university,287106,management/self -employed,big city
100001031,male,single,60,university,166298,management/self -employed,mid-sized city
100001032,female,non-single,30,graduate school,133328,unemployed,big city
100001033,male,single,63,university,129798,skilled employee,mid-sized city
100001034,male,single,57,university,281084,management/self -employed,mid-sized city
100001035,female,non-single,46,university,160678,skilled employee,big city
100001036,female,non-single,70,graduate school,167532,skilled employee,mid-sized city
100001037,male,single,65,university,178591,skilled employee,big city
100001038,male,single,63,university,273063,management/self -employed,big city
100001039,male,non-single,54,university,149410,skilled employee,big city
100001040,male,non-single,49,university,124658,skilled employee,big city
100001041,female,non-single,64,university,153645,skilled employee,big city
100001042,female,non-single,61,university,308529,management/self -employed,big city
